id,Year,CrimeType,AssaultType,Sex,Count
149,2021,Sexual Violation,N/A,Female,458
150,2015,Assault,Resisting Arrest,Female,10
151,2014,Robbery,N/A,Female,16
152,2018,Sexual Violation,N/A,Female,37
153,2020,Robbery,N/A,Male,204
154,2014,Assault,Aggravated Assault on a Peace Officer,Male,1
155,2023,Sexual Violation,N/A,Male,3
156,2019,Assault,Assault on a Peace Officer,Male,7
157,2014,Other,N/A,Female,83
158,2014,Assault,Assault on a Peace Officer,Male,2
159,2020,Robbery,N/A,Male,235
160,2022,Assault,Other,Female,77
161,2019,Assault,Resisting Arrest,Male,91
162,2020,Sexual Violation,N/A,Female,51
163,2014,Assault,Resisting Arrest,Female,22
164,2016,Robbery,N/A,Unknown,2
165,2019,Sexual Violation,N/A,Female,235
166,2020,Assault,Resisting Arrest,Male,40
167,2022,Assault,Assaulting a Peace Officer with a Weapon,Male,80
168,2017,Other,N/A,Male,146
169,2019,Sexual Violation,N/A,Female,451
170,2015,Sexual Violation,N/A,Male,100
171,2017,Assault,Assault on a Peace Officer,Female,17
172,2020,Assault,Other,Female,346
173,2015,Assault,Resisting Arrest,Male,34
174,2018,Robbery,N/A,Male,89
175,2022,Sexual Violation,N/A,Female,531
176,2020,Sexual Violation,N/A,Female,390
177,2016,Sexual Violation,N/A,Unknown,1
178,2016,Robbery,N/A,Male,699
179,2016,Assault,Other,Female,260
180,2019,Other,N/A,Female,79
181,2020,Robbery,N/A,Male,22
182,2022,Other,N/A,Male,81
183,2022,Assault,Other,Male,1211
184,2021,Other,N/A,Unknown,2
185,2015,Sexual Violation,N/A,Male,15
186,2021,Assault,Assaulting a Peace Officer with a Weapon,Male,44
187,2017,Robbery,N/A,Male,38
188,2023,Robbery,N/A,Female,46
189,2023,Assault,Assaulting a Peace Officer with a Weapon,Male,2
190,2016,Sexual Violation,N/A,Female,513
191,2020,Assault,Other,Male,1362
192,2016,Assault,Resisting Arrest,Male,42
193,2014,Assault,Assault on a Peace Officer,Female,1
194,2016,Assault,Other,Male,759
195,2014,Other,N/A,Female,689
196,2016,Other,N/A,Female,424
197,2023,Assault,Aggravated Assault on a Peace Officer,Male,1
198,2023,Assault,Resisting Arrest,Female,2
199,2018,Assault,Other,Male,439
200,2022,Other,N/A,Male,64
201,2023,Robbery,N/A,Male,20
202,2018,Assault,Other,Male,1363
203,2019,Robbery,N/A,Unknown,1
204,2021,Other,N/A,Female,149
205,2016,Sexual Violation,N/A,Male,11
206,2017,Assault,Other,Female,92
207,2017,Robbery,N/A,Unknown,1
208,2020,Assault,Other,Female,1269
209,2019,Assault,Resisting Arrest,Female,10
210,2014,Assault,Assault on a Peace Officer,Male,281
211,2014,Robbery,N/A,Male,86
212,2023,Assault,Assaulting a Peace Officer with a Weapon,Female,2
213,2016,Assault,Assault on a Peace Officer,Female,74
214,2016,Assault,Aggravated Assault on a Peace Officer,Male,1
215,2021,Assault,Assault on a Peace Officer,Female,4
216,2022,Assault,Resisting Arrest,Female,1
217,2017,Assault,Assault on a Peace Officer,Male,4
218,2021,Assault,Other,Unknown,6
219,2021,Robbery,N/A,Female,136
220,2022,Robbery,N/A,Male,92
221,2020,Robbery,N/A,Male,84
222,2014,Assault,Assault on a Peace Officer,Male,19
223,2015,Assault,Other,Female,73
224,2023,Robbery,N/A,Female,50
225,2018,Robbery,N/A,Female,85
226,2018,Assault,Resisting Arrest,Male,69
227,2020,Assault,Assaulting a Peace Officer with a Weapon,Male,7
228,2020,Sexual Violation,N/A,Unknown,1
229,2023,Robbery,N/A,Male,135
230,2021,Robbery,N/A,Male,334
231,2016,Assault,Assaulting a Peace Officer with a Weapon,Female,1
232,2017,Sexual Violation,N/A,Male,62
233,2021,Assault,Other,Female,590
234,2015,Assault,Assault on a Peace Officer,Female,7
235,2022,Robbery,N/A,Female,60
236,2014,Other,N/A,Male,412
237,2019,Assault,Other,Female,448
238,2022,Sexual Violation,N/A,Male,93
239,2022,Assault,Other,Female,1026
240,2022,Other,N/A,Male,79
241,2018,Assault,Assault on a Peace Officer,Male,332
242,2019,Assault,Other,Male,1567
243,2019,Assault,Assault on a Peace Officer,Female,1
244,2015,Robbery,N/A,Unknown,1
245,2019,Sexual Violation,N/A,Male,22
246,2019,Assault,Other,Male,2111
247,2018,Assault,Other,Female,396
248,2015,Assault,Assaulting a Peace Officer with a Weapon,Male,1
249,2015,Assault,Resisting Arrest,Female,2
250,2017,Assault,Other,Male,488
251,2016,Assault,Assault on a Peace Officer,Male,13
252,2017,Sexual Violation,N/A,Male,3
253,2022,Assault,Other,Unknown,1
254,2020,Assault,Other,Male,506
255,2017,Other,N/A,Female,203
256,2020,Robbery,N/A,Female,9
257,2015,Other,N/A,Female,534
258,2014,Assault,Assault on a Peace Officer,Male,14
259,2018,Other,N/A,Male,65
260,2017,Sexual Violation,N/A,Female,112
261,2017,Sexual Violation,N/A,Female,467
262,2022,Assault,Resisting Arrest,Female,2
263,2017,Assault,Other,Unknown,23
264,2018,Assault,Other,Female,492
265,2018,Assault,Assaulting a Peace Officer with a Weapon,Female,1
266,2017,Sexual Violation,N/A,Female,217
267,2018,Other,N/A,Unknown,2
268,2019,Assault,Assault on a Peace Officer,Female,74
269,2023,Assault,Other,Female,2602
270,2016,Assault,Resisting Arrest,Male,2
271,2019,Robbery,N/A,Female,154
272,2016,Assault,Resisting Arrest,Female,11
