id,Year,CrimeType,AssaultType,Sex,Count
646,2017,Assault,Assaulting a Peace Officer with a Weapon,Male,3
647,2021,Assault,Other,Female,76
648,2016,Other,N/A,Female,185
649,2021,Assault,Resisting Arrest,Female,4
650,2018,Assault,Resisting Arrest,Male,20
651,2022,Assault,Other,Female,456
652,2014,Assault,Other,Female,921
653,2021,Assault,Assault on a Peace Officer,Male,243
654,2017,Assault,Assault on a Peace Officer,Female,1
655,2017,Other,N/A,Female,493
656,2023,Sexual Violation,N/A,Unknown,1
657,2022,Assault,Assaulting a Peace Officer with a Weapon,Unknown,2
658,2019,Robbery,N/A,Male,38
659,2018,Sexual Violation,N/A,Male,81
660,2022,Sexual Violation,N/A,Unknown,2
661,2023,Other,N/A,Male,422
662,2016,Other,N/A,Male,404
663,2020,Assault,Resisting Arrest,Male,6
664,2021,Sexual Violation,N/A,Female,235
665,2019,Robbery,N/A,Female,108
666,2023,Other,N/A,Female,167
667,2021,Robbery,N/A,Male,12
668,2023,Other,N/A,Female,343
669,2023,Assault,Other,Male,1492
670,2020,Assault,Assault on a Peace Officer,Female,7
671,2017,Sexual Violation,N/A,Male,74
672,2021,Sexual Violation,N/A,Unknown,1
673,2021,Robbery,N/A,Female,82
674,2015,Assault,Other,Unknown,1
675,2020,Assault,Assaulting a Peace Officer with a Weapon,Male,1
676,2018,Assault,Other,Male,446
677,2014,Assault,Other,Male,1667
678,2014,Assault,Resisting Arrest,Male,5
679,2022,Other,N/A,Female,398
680,2014,Assault,Other,Female,1464
681,2022,Robbery,N/A,Female,100
682,2018,Assault,Assault on a Peace Officer,Female,16
683,2018,Robbery,N/A,Male,158
684,2016,Assault,Other,Female,938
685,2022,Assault,Resisting Arrest,Male,31
686,2019,Assault,Resisting Arrest,Male,5
687,2022,Sexual Violation,N/A,Female,534
688,2020,Assault,Assault on a Peace Officer,Female,15
689,2020,Sexual Violation,N/A,Male,7
690,2017,Robbery,N/A,Unknown,1
691,2023,Sexual Violation,N/A,Female,219
692,2015,Other,N/A,Female,410
693,2014,Assault,Resisting Arrest,Female,4
694,2016,Other,N/A,Male,74
695,2021,Assault,Other,Male,1100
696,2017,Sexual Violation,N/A,Female,55
697,2020,Assault,Assaulting a Peace Officer with a Weapon,Female,2
698,2014,Robbery,N/A,Male,659
699,2014,Assault,Other,Female,525
700,2018,Assault,Resisting Arrest,Female,18
701,2015,Other,N/A,Female,124
702,2019,Assault,Other,Male,1325
703,2016,Robbery,N/A,Male,434
704,2015,Assault,Assault on a Peace Officer,Female,2
705,2018,Assault,Resisting Arrest,Female,7
706,2022,Assault,Other,Unknown,2
707,2015,Assault,Assaulting a Peace Officer with a Weapon,Male,2
708,2014,Assault,Assault on a Peace Officer,Male,1
709,2015,Assault,Resisting Arrest,Male,3
710,2022,Other,N/A,Male,307
711,2020,Assault,Other,Unknown,3
712,2018,Assault,Other,Female,1039
713,2017,Robbery,N/A,Male,493
714,2023,Sexual Violation,N/A,Female,277
715,2020,Other,N/A,Male,176
716,2023,Other,N/A,Unknown,1
717,2023,Other,N/A,Female,237
718,2022,Other,N/A,Female,189
719,2018,Assault,Assault on a Peace Officer,Male,14
720,2019,Assault,Assault on a Peace Officer,Male,37
721,2023,Sexual Violation,N/A,Female,59
722,2015,Other,N/A,Male,463
723,2015,Assault,Assault on a Peace Officer,Male,25
724,2017,Assault,Other,Female,489
725,2021,Assault,Resisting Arrest,Male,29
726,2019,Sexual Violation,N/A,Female,538
727,2020,Other,N/A,Male,263
728,2015,Assault,Assaulting a Peace Officer with a Weapon,Male,21
729,2022,Other,N/A,Female,522
730,2022,Assault,Resisting Arrest,Male,21
731,2014,Sexual Violation,N/A,Female,34
732,2023,Assault,Aggravated Assault on a Peace Officer,Male,1
733,2023,Sexual Violation,N/A,Male,17
734,2018,Sexual Violation,N/A,Unknown,1
735,2019,Robbery,N/A,Female,6
736,2019,Assault,Other,Female,1407
737,2020,Assault,Assault on a Peace Officer,Female,1
738,2017,Other,N/A,Male,484
739,2022,Assault,Assault on a Peace Officer,Female,16
740,2018,Other,N/A,Unknown,1
741,2016,Robbery,N/A,Female,114
742,2019,Assault,Other,Female,1649
743,2014,Assault,Assaulting a Peace Officer with a Weapon,Female,3
744,2023,Assault,Assault on a Peace Officer,Female,7
745,2021,Sexual Violation,N/A,Female,124
746,2021,Other,N/A,Female,513
747,2014,Robbery,N/A,Female,6
748,2020,Other,N/A,Male,74
749,2023,Assault,Assaulting a Peace Officer with a Weapon,Female,7
750,2017,Assault,Resisting Arrest,Male,75
751,2022,Sexual Violation,N/A,Male,82
752,2023,Other,N/A,Female,102
753,2023,Assault,Other,Unknown,1
754,2017,Assault,Other,Female,290
755,2016,Robbery,N/A,Male,258
756,2014,Robbery,N/A,Female,195
757,2018,Sexual Violation,N/A,Female,126
758,2014,Other,N/A,Female,215
759,2023,Robbery,N/A,Male,428
760,2017,Assault,Other,Male,1937
761,2017,Assault,Resisting Arrest,Female,5
762,2019,Robbery,N/A,Unknown,3
763,2020,Sexual Violation,N/A,Female,104
764,2014,Assault,Aggravated Assault on a Peace Officer,Male,2
765,2016,Assault,Resisting Arrest,Male,79
766,2023,Assault,Resisting Arrest,Female,2
767,2021,Assault,Resisting Arrest,Male,35
768,2021,Assault,Assaulting a Peace Officer with a Weapon,Male,7
769,2019,Sexual Violation,N/A,Female,22
770,2023,Assault,Assault on a Peace Officer,Female,53
771,2023,Assault,Other,Male,677
772,2017,Other,N/A,Female,230
773,2021,Assault,Other,Female,1581
774,2017,Assault,Other,Male,213
775,2017,Assault,Assault on a Peace Officer,Male,4
776,2023,Assault,Assaulting a Peace Officer with a Weapon,Female,4
777,2014,Assault,Other,Female,388
778,2014,Assault,Other,Male,1057
779,2015,Robbery,N/A,Female,175
780,2021,Assault,Other,Female,2366
781,2014,Assault,Resisting Arrest,Male,84
782,2017,Other,N/A,Unknown,1
783,2020,Assault,Resisting Arrest,Female,1
784,2014,Assault,Resisting Arrest,Male,86
785,2023,Assault,Assault on a Peace Officer,Female,17
786,2015,Other,N/A,Unknown,6
787,2017,Assault,Assault on a Peace Officer,Female,3
788,2019,Assault,Resisting Arrest,Male,30
789,2019,Robbery,N/A,Male,555
790,2017,Assault,Assaulting a Peace Officer with a Weapon,Male,1
791,2016,Other,N/A,Male,465
792,2023,Assault,Other,Male,634
793,2014,Other,N/A,Male,117
794,2019,Robbery,N/A,Female,183
795,2015,Assault,Assault on a Peace Officer,Male,5
796,2022,Other,N/A,Unknown,2
797,2016,Other,N/A,Female,113
798,2015,Assault,Assault on a Peace Officer,Male,26
799,2022,Other,N/A,Male,248
800,2014,Assault,Assault on a Peace Officer,Female,5
801,2018,Robbery,N/A,Male,24
802,2019,Other,N/A,Male,64
803,2020,Assault,Resisting Arrest,Unknown,1
804,2023,Sexual Violation,N/A,Male,112
805,2022,Assault,Other,Unknown,7
806,2022,Assault,Other,Male,595
807,2021,Assault,Other,Female,435
808,2020,Other,N/A,Female,342
809,2021,Robbery,N/A,Male,19
810,2021,Other,N/A,Female,233
811,2016,Other,N/A,Male,278
812,2020,Robbery,N/A,Male,380
813,2023,Robbery,N/A,Unknown,1
814,2019,Assault,Other,Female,618
815,2018,Assault,Assaulting a Peace Officer with a Weapon,Male,1
816,2017,Sexual Violation,N/A,Female,416
817,2014,Assault,Assaulting a Peace Officer with a Weapon,Male,4
818,2017,Sexual Violation,N/A,Unknown,2
819,2021,Robbery,N/A,Unknown,2
820,2018,Assault,Other,Female,1481
821,2018,Sexual Violation,N/A,Male,7
822,2023,Other,N/A,Unknown,3
823,2022,Other,N/A,Female,77
824,2020,Other,N/A,Male,222
825,2020,Assault,Other,Female,1579
826,2023,Assault,Other,Female,1121
827,2022,Assault,Assault on a Peace Officer,Male,8
828,2019,Robbery,N/A,Unknown,1
829,2023,Robbery,N/A,Male,412
830,2014,Robbery,N/A,Unknown,1
831,2014,Assault,Other,Female,325
832,2022,Sexual Violation,N/A,Female,248
833,2015,Assault,Other,Male,1301
834,2017,Assault,Other,Female,2063
835,2021,Assault,Assaulting a Peace Officer with a Weapon,Male,4
836,2023,Assault,Other,Unknown,4
837,2016,Other,N/A,Female,740
838,2020,Assault,Other,Unknown,1
839,2021,Sexual Violation,N/A,Female,21
840,2016,Sexual Violation,N/A,Female,35
841,2018,Assault,Assaulting a Peace Officer with a Weapon,Female,5
842,2023,Other,N/A,Male,293
843,2020,Assault,Assaulting a Peace Officer with a Weapon,Male,1
844,2016,Assault,Resisting Arrest,Female,1
845,2022,Assault,Other,Male,1312
846,2022,Sexual Violation,N/A,Unknown,1
847,2017,Assault,Resisting Arrest,Male,2
848,2022,Robbery,N/A,Male,348
849,2016,Other,N/A,Female,59
850,2017,Assault,Assaulting a Peace Officer with a Weapon,Male,2
851,2014,Other,N/A,Unknown,3
852,2014,Assault,Assault on a Peace Officer,Male,21
853,2023,Sexual Violation,N/A,Female,551
854,2017,Assault,Other,Male,642
855,2016,Assault,Assault on a Peace Officer,Female,3
856,2018,Sexual Violation,N/A,Female,230
857,2014,Robbery,N/A,Female,244
858,2015,Assault,Other,Female,1270
859,2018,Robbery,N/A,Female,189
860,2022,Other,N/A,Female,246
861,2023,Other,N/A,Female,289
862,2017,Assault,Assaulting a Peace Officer with a Weapon,Male,3
863,2019,Assault,Other,Unknown,45
864,2018,Sexual Violation,N/A,Female,506
865,2014,Sexual Violation,N/A,Male,29
866,2023,Assault,Assault on a Peace Officer,Female,1
867,2019,Robbery,N/A,Unknown,1
868,2021,Robbery,N/A,Female,8
869,2022,Assault,Assaulting a Peace Officer with a Weapon,Female,2
870,2023,Sexual Violation,N/A,Male,81
871,2021,Assault,Other,Male,2086
872,2015,Other,N/A,Male,172
873,2018,Other,N/A,Male,166
874,2019,Robbery,N/A,Unknown,1
875,2014,Robbery,N/A,Male,675
876,2014,Other,N/A,Male,198
877,2018,Assault,Assault on a Peace Officer,Female,74
878,2016,Assault,Other,Unknown,1
879,2014,Assault,Resisting Arrest,Female,13
880,2018,Assault,Other,Male,247
881,2022,Assault,Other,Female,1401
882,2021,Assault,Resisting Arrest,Male,12
883,2015,Other,N/A,Female,575
884,2019,Sexual Violation,N/A,Female,562
885,2016,Assault,Other,Unknown,4
886,2016,Assault,Resisting Arrest,Female,13
887,2016,Other,N/A,Female,235
888,2017,Other,N/A,Male,292
889,2021,Assault,Assault on a Peace Officer,Male,9
890,2018,Sexual Violation,N/A,Female,75
891,2022,Assault,Resisting Arrest,Female,8
892,2015,Other,N/A,Female,260
893,2021,Sexual Violation,N/A,Female,59
894,2023,Assault,Other,Unknown,1
895,2022,Sexual Violation,N/A,Female,22
896,2022,Assault,Aggravated Assault on a Peace Officer,Male,3
897,2021,Sexual Violation,N/A,Male,16
898,2022,Sexual Violation,N/A,Male,10
899,2015,Other,N/A,Male,259
900,2018,Robbery,N/A,Female,197
901,2019,Robbery,N/A,Female,61
902,2019,Assault,Assaulting a Peace Officer with a Weapon,Female,1
903,2020,Other,N/A,Male,383
904,2019,Other,N/A,Male,123
905,2021,Other,N/A,Male,277
906,2023,Robbery,N/A,Female,2
907,2022,Assault,Other,Male,179
908,2017,Assault,Assaulting a Peace Officer with a Weapon,Male,3
909,2020,Sexual Violation,N/A,Female,450
910,2019,Sexual Violation,N/A,Male,11
911,2019,Assault,Other,Female,1068
912,2023,Sexual Violation,N/A,Male,3
913,2021,Robbery,N/A,Female,31
914,2018,Assault,Resisting Arrest,Male,4
915,2018,Other,N/A,Female,417
916,2015,Assault,Resisting Arrest,Female,3
917,2023,Assault,Assault on a Peace Officer,Male,310
918,2014,Robbery,N/A,Male,29
919,2017,Assault,Resisting Arrest,Male,76
920,2022,Assault,Other,Female,2531
921,2023,Robbery,N/A,Male,11
922,2019,Sexual Violation,N/A,Unknown,3
923,2016,Assault,Assault on a Peace Officer,Male,3
924,2016,Assault,Other,Male,354
925,2023,Sexual Violation,N/A,Male,53
926,2016,Sexual Violation,N/A,Male,43
927,2020,Sexual Violation,N/A,Male,42
928,2017,Robbery,N/A,Female,10
929,2018,Assault,Assaulting a Peace Officer with a Weapon,Male,7
930,2015,Other,N/A,Male,485
931,2021,Robbery,N/A,Female,35
932,2015,Other,N/A,Female,64
933,2018,Robbery,N/A,Male,250
934,2020,Assault,Other,Female,405
935,2022,Assault,Assault on a Peace Officer,Male,42
936,2021,Robbery,N/A,Male,147
937,2015,Assault,Resisting Arrest,Female,16
938,2015,Robbery,N/A,Female,61
939,2016,Assault,Other,Female,1311
940,2019,Sexual Violation,N/A,Female,262
941,2016,Robbery,N/A,Unknown,1
942,2017,Assault,Aggravated Assault on a Peace Officer,Male,1
943,2014,Assault,Assaulting a Peace Officer with a Weapon,Female,1
944,2019,Other,N/A,Female,68
945,2023,Other,N/A,Unknown,3
946,2020,Robbery,N/A,Female,65
947,2021,Other,N/A,Male,96
948,2019,Other,N/A,Female,400
949,2021,Assault,Assault on a Peace Officer,Female,6
950,2018,Assault,Other,Male,1294
951,2020,Robbery,N/A,Female,102
952,2021,Assault,Other,Unknown,2
953,2021,Other,N/A,Female,72
954,2015,Sexual Violation,N/A,Female,410
955,2017,Sexual Violation,N/A,Female,200
956,2016,Assault,Other,Female,485
957,2016,Other,N/A,Male,94
958,2015,Other,N/A,Female,78
959,2017,Assault,Assaulting a Peace Officer with a Weapon,Female,8
960,2021,Assault,Other,Female,247
961,2019,Robbery,N/A,Male,692
962,2023,Assault,Other,Female,286
963,2018,Other,N/A,Female,226
964,2022,Assault,Other,Male,1085
965,2017,Robbery,N/A,Female,141
966,2014,Other,N/A,Male,164
967,2015,Assault,Resisting Arrest,Male,84
968,2015,Other,N/A,Unknown,1
969,2018,Robbery,N/A,Female,6
970,2020,Other,N/A,Unknown,11
971,2020,Assault,Assault on a Peace Officer,Male,11
972,2016,Other,N/A,Male,374
973,2018,Assault,Resisting Arrest,Male,26
974,2019,Assault,Assaulting a Peace Officer with a Weapon,Male,1
975,2021,Sexual Violation,N/A,Unknown,4
976,2022,Assault,Assaulting a Peace Officer with a Weapon,Male,4
977,2016,Robbery,N/A,Female,122
978,2018,Assault,Resisting Arrest,Female,1
979,2014,Assault,Resisting Arrest,Female,1
980,2017,Robbery,N/A,Male,259
981,2022,Assault,Assault on a Peace Officer,Female,5
982,2023,Assault,Assaulting a Peace Officer with a Weapon,Male,17
983,2023,Other,N/A,Female,78
984,2018,Robbery,N/A,Male,537
985,2019,Other,N/A,Female,215
986,2014,Assault,Other,Male,559
987,2017,Sexual Violation,N/A,Female,37
988,2019,Assault,Resisting Arrest,Female,5
989,2018,Other,N/A,Male,405
990,2015,Assault,Other,Female,2042
991,2021,Sexual Violation,N/A,Female,287
992,2021,Other,N/A,Female,371
993,2020,Assault,Other,Male,354
994,2016,Other,N/A,Unknown,1
995,2014,Other,N/A,Male,75
996,2020,Assault,Resisting Arrest,Female,4
997,2018,Other,N/A,Male,251
998,2015,Assault,Assault on a Peace Officer,Male,325
999,2018,Assault,Assault on a Peace Officer,Male,4
1000,2017,Other,N/A,Female,76
1001,2019,Other,N/A,Unknown,1
1002,2018,Other,N/A,Unknown,2
1003,2022,Other,N/A,Unknown,1
1004,2018,Sexual Violation,N/A,Unknown,1
1005,2021,Assault,Other,Male,1080
1006,2020,Other,N/A,Unknown,1
1007,2020,Sexual Violation,N/A,Male,9
1008,2017,Other,N/A,Male,99
1009,2019,Assault,Assaulting a Peace Officer with a Weapon,Female,1
1010,2014,Sexual Violation,N/A,Female,477
1011,2022,Robbery,N/A,Male,384
1012,2021,Assault,Other,Unknown,1
1013,2014,Assault,Other,Male,506
1014,2020,Assault,Assault on a Peace Officer,Female,3
1015,2016,Assault,Resisting Arrest,Female,1
1016,2019,Assault,Assaulting a Peace Officer with a Weapon,Unknown,3
1017,2020,Sexual Violation,N/A,Female,57
1018,2023,Robbery,N/A,Male,175
1019,2021,Assault,Other,Male,471
1020,2022,Assault,Other,Male,1729
1021,2018,Assault,Other,Male,1482
1022,2022,Sexual Violation,N/A,Male,19
1023,2015,Assault,Other,Female,510
1024,2021,Other,N/A,Female,35
1025,2018,Assault,Aggravated Assault on a Peace Officer,Male,1
1026,2018,Sexual Violation,N/A,Male,54
1027,2022,Assault,Assaulting a Peace Officer with a Weapon,Female,1
1028,2014,Robbery,N/A,Unknown,2
1029,2018,Robbery,N/A,Female,107
1030,2023,Assault,Assault on a Peace Officer,Female,15
1031,2023,Assault,Other,Unknown,8
1032,2020,Assault,Assault on a Peace Officer,Female,8
1033,2019,Other,N/A,Male,300
1034,2015,Robbery,N/A,Male,227
1035,2020,Other,N/A,Male,239
1036,2021,Assault,Assault on a Peace Officer,Unknown,22
1037,2017,Robbery,N/A,Male,727
1038,2021,Sexual Violation,N/A,Male,27
1039,2018,Assault,Other,Unknown,30
1040,2014,Assault,Assaulting a Peace Officer with a Weapon,Male,2
1041,2017,Sexual Violation,N/A,Male,6
1042,2016,Assault,Assault on a Peace Officer,Male,26
1043,2019,Assault,Assault on a Peace Officer,Female,18
1044,2020,Other,N/A,Male,93
1045,2021,Other,N/A,Unknown,2
1046,2016,Assault,Resisting Arrest,Female,2
1047,2014,Assault,Other,Male,1141
1048,2014,Robbery,N/A,Female,70
1049,2019,Sexual Violation,N/A,Female,59
1050,2019,Assault,Assaulting a Peace Officer with a Weapon,Male,8
1051,2016,Other,N/A,Unknown,1
1052,2021,Sexual Violation,N/A,Male,19
1053,2020,Assault,Assaulting a Peace Officer with a Weapon,Female,1
1054,2023,Other,N/A,Male,199
1055,2019,Assault,Resisting Arrest,Male,81
1056,2015,Assault,Other,Male,470
1057,2023,Robbery,N/A,Male,358
1058,2016,Sexual Violation,N/A,Female,56
1059,2017,Assault,Assaulting a Peace Officer with a Weapon,Male,30
1060,2023,Assault,Assault on a Peace Officer,Male,14
1061,2023,Other,N/A,Male,101
1062,2020,Assault,Other,Female,562
1063,2020,Robbery,N/A,Male,4
1064,2020,Assault,Resisting Arrest,Male,1
1065,2014,Sexual Violation,N/A,Male,7
1066,2023,Assault,Assaulting a Peace Officer with a Weapon,Male,14
1067,2016,Assault,Resisting Arrest,Male,4
1068,2016,Assault,Other,Male,624
1069,2021,Robbery,N/A,Female,93
1070,2021,Assault,Assault on a Peace Officer,Female,43
1071,2021,Other,N/A,Unknown,6
1072,2020,Other,N/A,Male,74
1073,2016,Robbery,N/A,Female,77
1074,2023,Assault,Resisting Arrest,Male,13
1075,2019,Assault,Aggravated Assault on a Peace Officer,Male,1
1076,2023,Assault,Other,Female,690
1077,2018,Assault,Assaulting a Peace Officer with a Weapon,Female,1
1078,2016,Assault,Assault on a Peace Officer,Male,276
1079,2017,Assault,Aggravated Assault on a Peace Officer,Female,1
1080,2015,Sexual Violation,N/A,Male,9
1081,2023,Assault,Assault on a Peace Officer,Female,7
1082,2020,Sexual Violation,N/A,Unknown,2
1083,2022,Assault,Assault on a Peace Officer,Male,44
1084,2016,Robbery,N/A,Male,704
1085,2016,Robbery,N/A,Female,191
1086,2019,Assault,Assaulting a Peace Officer with a Weapon,Male,34
1087,2016,Assault,Assaulting a Peace Officer with a Weapon,Female,2
1088,2017,Robbery,N/A,Female,46
1089,2016,Other,N/A,Female,515
1090,2021,Assault,Assaulting a Peace Officer with a Weapon,Male,2
1091,2017,Sexual Violation,N/A,Male,18
1092,2015,Robbery,N/A,Male,403
1093,2021,Sexual Violation,N/A,Unknown,1
1094,2021,Other,N/A,Unknown,1
1095,2015,Assault,Assaulting a Peace Officer with a Weapon,Male,1
1096,2022,Assault,Other,Unknown,3
1097,2014,Assault,Assault on a Peace Officer,Female,1
1098,2023,Assault,Assault on a Peace Officer,Female,2
1099,2017,Assault,Other,Male,802
1100,2021,Assault,Other,Unknown,57
1101,2014,Sexual Violation,N/A,Male,106
1102,2014,Robbery,N/A,Female,138
1103,2016,Assault,Assault on a Peace Officer,Female,6
1104,2018,Assault,Resisting Arrest,Male,59
1105,2023,Assault,Resisting Arrest,Male,5
1106,2023,Assault,Resisting Arrest,Female,9
1107,2020,Other,N/A,Male,60
1108,2020,Assault,Assaulting a Peace Officer with a Weapon,Male,43
1109,2017,Assault,Resisting Arrest,Male,4
1110,2017,Assault,Other,Unknown,10
1111,2020,Assault,Resisting Arrest,Male,36
1112,2018,Robbery,N/A,Female,57
1113,2022,Sexual Violation,N/A,Male,40
1114,2020,Sexual Violation,N/A,Male,86
1115,2023,Assault,Other,Female,725
1116,2017,Other,N/A,Female,459
1117,2016,Assault,Resisting Arrest,Unknown,2
1118,2022,Robbery,N/A,Female,203
1119,2022,Assault,Other,Unknown,12
1120,2018,Sexual Violation,N/A,Male,17
1121,2015,Robbery,N/A,Male,199
1122,2019,Sexual Violation,N/A,Male,63
1123,2019,Assault,Resisting Arrest,Female,2
1124,2017,Assault,Assault on a Peace Officer,Female,11
1125,2014,Assault,Assaulting a Peace Officer with a Weapon,Female,1
1126,2015,Robbery,N/A,Female,189
1127,2015,Assault,Resisting Arrest,Male,3
1128,2022,Assault,Assault on a Peace Officer,Male,268
1129,2019,Assault,Other,Male,505
1130,2022,Assault,Other,Male,2276
1131,2021,Sexual Violation,N/A,Female,488
1132,2017,Assault,Other,Male,1307
1133,2023,Other,N/A,Male,250
1134,2018,Other,N/A,Female,344
1135,2018,Assault,Assault on a Peace Officer,Female,9
1136,2019,Assault,Assault on a Peace Officer,Male,15
1137,2014,Sexual Violation,N/A,Female,103
1138,2017,Other,N/A,Male,215
1139,2022,Robbery,N/A,Female,85
1140,2016,Assault,Resisting Arrest,Unknown,1
1141,2022,Assault,Resisting Arrest,Male,6
1142,2020,Assault,Other,Unknown,7
1143,2016,Sexual Violation,N/A,Female,433
1144,2018,Assault,Assault on a Peace Officer,Male,66
1145,2018,Assault,Other,Female,308
1146,2020,Robbery,N/A,Male,447
1147,2019,Assault,Resisting Arrest,Male,62
1148,2014,Other,N/A,Male,95
1149,2020,Assault,Aggravated Assault on a Peace Officer,Male,2
1150,2022,Sexual Violation,N/A,Unknown,4
1151,2014,Assault,Other,Male,612
1152,2014,Other,N/A,Female,68
1153,2017,Assault,Other,Female,602
1154,2020,Assault,Assault on a Peace Officer,Male,12
1155,2020,Assault,Assault on a Peace Officer,Female,64
1156,2023,Assault,Other,Male,137
1157,2021,Assault,Assaulting a Peace Officer with a Weapon,Female,2
1158,2018,Assault,Other,Male,918
1159,2018,Assault,Other,Unknown,1
1160,2017,Other,N/A,Female,708
1161,2016,Assault,Resisting Arrest,Female,11
1162,2022,Robbery,N/A,Female,101
1163,2015,Sexual Violation,N/A,Male,4
1164,2018,Other,N/A,Unknown,10
1165,2022,Assault,Assault on a Peace Officer,Female,51
1166,2019,Sexual Violation,N/A,Female,65
1167,2020,Sexual Violation,N/A,Female,222
1168,2015,Sexual Violation,N/A,Male,70
1169,2014,Sexual Violation,N/A,Male,9
1170,2014,Assault,Resisting Arrest,Male,14
1171,2015,Assault,Other,Female,975
1172,2019,Robbery,N/A,Male,245
1173,2020,Other,N/A,Female,481
1174,2014,Assault,Other,Female,287
1175,2022,Assault,Aggravated Assault on a Peace Officer,Male,1
1176,2019,Sexual Violation,N/A,Male,90
1177,2015,Assault,Other,Female,305
1178,2023,Other,N/A,Unknown,1
1179,2023,Sexual Violation,N/A,Female,516
1180,2018,Robbery,N/A,Unknown,1
1181,2019,Assault,Resisting Arrest,Female,1
1182,2019,Robbery,N/A,Female,7
1183,2022,Robbery,N/A,Male,162
1184,2015,Assault,Resisting Arrest,Female,7
1185,2016,Assault,Other,Female,2011
1186,2015,Assault,Other,Male,545
1187,2018,Sexual Violation,N/A,Female,516
1188,2023,Other,N/A,Female,561
1189,2022,Sexual Violation,N/A,Female,287
1190,2016,Sexual Violation,N/A,Unknown,1
1191,2015,Assault,Other,Female,296
1192,2016,Assault,Assaulting a Peace Officer with a Weapon,Female,13
1193,2020,Other,N/A,Female,40
1194,2018,Other,N/A,Female,633
1195,2019,Assault,Resisting Arrest,Male,12
1196,2021,Assault,Assault on a Peace Officer,Female,16
1197,2017,Assault,Assaulting a Peace Officer with a Weapon,Male,8
1198,2020,Robbery,N/A,Female,135
1199,2021,Robbery,N/A,Male,70
1200,2021,Assault,Other,Male,1268
1201,2021,Sexual Violation,N/A,Male,5
1202,2014,Sexual Violation,N/A,Female,154
1203,2021,Sexual Violation,N/A,Male,76
1204,2014,Other,N/A,Male,356
1205,2019,Assault,Other,Female,599
1206,2017,Assault,Resisting Arrest,Female,3
1207,2021,Assault,Resisting Arrest,Female,6
1208,2020,Assault,Other,Female,73
1209,2023,Assault,Other,Female,72
1210,2020,Other,N/A,Female,315
1211,2014,Sexual Violation,N/A,Female,357
1212,2017,Assault,Other,Female,999
1213,2022,Assault,Other,Female,1747
1214,2021,Robbery,N/A,Male,125
1215,2022,Other,N/A,Unknown,5
1216,2023,Other,N/A,Unknown,2
1217,2014,Sexual Violation,N/A,Male,23
1218,2021,Assault,Other,Female,1297
1219,2022,Assault,Assaulting a Peace Officer with a Weapon,Male,11
1220,2023,Other,N/A,Female,28
1221,2023,Assault,Resisting Arrest,Male,35
1222,2019,Assault,Assaulting a Peace Officer with a Weapon,Female,10
1223,2023,Robbery,N/A,Unknown,2
1224,2020,Assault,Resisting Arrest,Male,39
1225,2015,Assault,Other,Male,683
1226,2021,Sexual Violation,N/A,Male,14
1227,2020,Assault,Assault on a Peace Officer,Male,21
1228,2016,Robbery,N/A,Unknown,1
1229,2014,Robbery,N/A,Male,224
1230,2022,Assault,Assault on a Peace Officer,Male,53
1231,2020,Assault,Other,Male,1267
1232,2015,Assault,Assaulting a Peace Officer with a Weapon,Female,1
1233,2022,Other,N/A,Male,183
1234,2023,Assault,Resisting Arrest,Female,1
1235,2019,Sexual Violation,N/A,Male,4
1236,2017,Other,N/A,Male,173
1237,2016,Sexual Violation,N/A,Male,48
1238,2022,Sexual Violation,N/A,Unknown,3
1239,2019,Other,N/A,Female,74
1240,2016,Robbery,N/A,Male,45
1241,2016,Other,N/A,Female,102
1242,2020,Assault,Other,Unknown,1
1243,2021,Assault,Assault on a Peace Officer,Female,3
1244,2018,Other,N/A,Unknown,1
